assignee
Anhui Masteel Surface Technology Co., Ltd.
mingmen swiss gmbh
Shanghai Chuangjing Biological Environmental Protection Technology Co., Ltd.
Shanghai Nokia Bell Co., Ltd.
Chongqing Yifeng Biological Fertilizer Co., Ltd.
Alibaba Group Holdings Limited
Samsung Electronics Co., Ltd.
Bengbu Dongling Electromechanical Technology Co., Ltd.
Huainan Chuangda Industrial Co., Ltd.
The 15th Research Institute of China Electronics Technology Group Corporation
Beijing Jiutian MSI Technology Development Co., Ltd.
Shanghai Hehui Optoelectronics Co., Ltd.
Shenzhen Hanyu Pharmaceutical Co., Ltd.
Che Chengyuan
Zhang Fang
G2 Touch Co., Ltd.
Nanjing Institute of Technology
Xuzhou Huapei Intelligent Manufacturing Technology Co., Ltd.
Shenchao Optoelectronics (Shenzhen) Co., Ltd.
Shanghai Huahong Grace Semiconductor Manufacturing Co., Ltd.
Gansu First Construction Group Co., Ltd.
Huizhou TCL Mobile Communication Co., Ltd.
National Nanoscience Center
Sony Corporation
Dalian Institute of Technology Jiangsu Research Institute Co., Ltd.
rogers co.
Shenyang Blower Group Co., Ltd.
LG Electronics Co., Ltd.
Zhengzhou Institute of Engineering and Technology
Wuhan University
China Merchants Chongqing Transportation Research and Design Institute Co., Ltd.
Yileshi Co., Ltd.
Hangzhou Zhenrai Microwave Technology Co., Ltd.
Huawei Technologies Co., Ltd
Qinghai Salt Lake Industry Co., Ltd.
Shenzhen Nuclear New Energy Technology Co., Ltd.
Harbin Engineering University
Hefei BOE Optoelectronics Technology Co., Ltd.
OPPO Guangdong Mobile Communication Co., Ltd.
Cao Xinyi
New H3C Technology Co., Ltd.
Hyundai Steel Co., Ltd.
Zhejiang Shentai Packaging Co., Ltd.
Airway Energy Co., Ltd.
Shanghai Institute of Satellite Engineering
Jiangsu Jinsheng Environmental Protection Technology Co., Ltd.
Shenzhen Xinyicheng Technology Co., Ltd.
Zhengzhou Lianrui Electronic Technology Co., Ltd.
University of Science and Technology Beijing
Yancheng Huasen Machinery Co., Ltd.
Jiangsu Hengshengtong Construction Co., Ltd.
Shandong Water Conservancy Research Institute
Zhejiang Youjia New Material Technology Co., Ltd.
Shaoxing Juhua Textile Technology Co., Ltd.
Shandong Academy of Sciences Institute of New Materials
Qingdao University of Technology
Suzhou Xinmu Intellectual Property Service Co., Ltd.
Jiangshan Feiyu Intelligent Technology Co., Ltd.
Beijing Chuangxin Journey Network Technology Co., Ltd.
South China University of Technology
Northeast Electric Power University
Hebei University of Technology
Southeast University
Jiangsu Linyang Energy Co., Ltd.
Zhejiang Kangling Machinery Manufacturing Co., Ltd.
Zhuhai Gaolin Information Technology Co., Ltd.
China General Nuclear Power Co., Ltd.
Toyota Motor Corporation
Oaks Air Conditioning Co., Ltd.
femases ltd.
Guangzhou Sihan Information Technology Co., Ltd.
Yang Xiaohui
Infineon Technologies AG
Fiberhome Communication Technology Co., Ltd.
Shanghai Baosight Software Co., Ltd.
Vivo Mobile Communication Co., Ltd.
Chongqing BOE Optoelectronics Technology Co., Ltd.
Hebei University of Technology
Shanghai Yinji Information Security Technology Co., Ltd.
Hainan Yuanxi Biotechnology Co., Ltd.
Vivo Mobile Communication Co., Ltd.
Jiangsu Hengli Chemical Fiber Co., Ltd.
Chongqing Shengyixin Electronic Technology Co., Ltd.
Beijing Excellence Financial Holding High-Tech Co., Ltd.
Datong Xincheng New Materials Co., Ltd.
Yiwu Spiolin Bags Co., Ltd.
Taicang Tongwei Electronics Co., Ltd.
Pachet Cornings Co., Ltd.
Chengdu Aviation Vocational and Technical College
Inner Mongolia Agricultural University
East China University of Science and Technology
Jiangyin Hengxing Paint Co., Ltd.
Shandong Datu CNC Equipment Co., Ltd.
Chengdu Shuwei Communication Technology Co., Ltd.
Novatek Technology Co., Ltd.
Institute of Computing Technology, Chinese Academy of Sciences
Jiangsu University of Science and Technology
Sichuan Agricultural University
Shenzhen Zhongxing Microelectronics Technology Co., Ltd.
Hubei Junjie New Materials Co., Ltd.
Tianjin Fulinxuan Packaging Products Co., Ltd.
Genevieve Medical Appliances Co., Ltd.
BYD Co., Ltd.
DSM Intellectual Property Asset Management Ltd.
Huawei Technologies Co., Ltd
Changsha College
high temperature
Ningbo Sailang Electric Co., Ltd.
Shan Dong University
Hefei Rongshida Electronic Appliance Group Co., Ltd.
Bai Youshan
Taicang Jianhui Information Technology Co., Ltd.
Nanjing Liuhe Push Machinery Co., Ltd.
Yangzhou Runzhong Information Technology Co., Ltd.
Shanghai Huali Integrated Circuit Manufacturing Co., Ltd.
University of Electronic Science and Technology of China
Jilin Allied Optoelectronic Materials Co., Ltd.
Bright Sharp Holdings Limited
Fujian Xingwangshiyi Information System Co., Ltd.
Shenzhen Questyle Engineering Co., Ltd.
Anhui Jiayu Weifeng Electromechanical Technology Co., Ltd.
Anshan Iron and Steel Co., Ltd.
Shanghai Berrymanke Biotechnology Co., Ltd.
Shanghai United Imaging Medical Technology Co., Ltd.
Ningxia Yinxin Construction Engineering Co., Ltd.
Jilin Songjianghe Hydropower Generation Co., Ltd.
Yunnan Nationalities University
Nippon Industrial Coatings (Shanghai) Co., Ltd.
Jiaxing Longfeng Municipal Construction Co., Ltd.
Shan Dong University
Hunan Radio and Television University (Hunan Network Engineering Vocational College)
Chongqing Zhihekang Medical Equipment Co., Ltd.
Li Fanghua
isikon co., ltd.
Rohm and Haas Electronic Materials LLC
Tianjin University
Yangtze River Water Resources Commission Changjiang Academy of Sciences
Zhanjiang Yuantong High-tech Co., Ltd.
Hubei Green Borderless Biotechnology Co., Ltd.
Shenyang Pharmaceutical University
Hefei Tiangong Signage Co., Ltd.
Suzhou University of Science and Technology
Qingdao Baiheng New Energy Technology Co., Ltd.
Hefei Xinsheng Photoelectric Technology Co., Ltd.
Ningbo Zhiliang New Energy Co., Ltd.
Yili Pharmaceutical (Luoding) Co., Ltd.
Huarong Optoelectronics Technology Co., Ltd.
Anhui Agricultural University
Sichuan Academy of Traditional Chinese Medicine
taiwan integrated circuit manufacturing co., ltd.
China Construction Commercial Concrete Co., Ltd.
Xiamen Xinweifa Industrial Co., Ltd.
China Construction Fourth Bureau Third Construction Co., Ltd.
Shell Finding Room (Beijing) Technology Co., Ltd.
Angry (Shanghai) Information Technology Co., Ltd.
Jiangsu Meishenmeike Precision Machinery Co., Ltd.
Liaoyang Laitefeng Wood Industry Co., Ltd.
Innovation Advanced Technology Co., Ltd.
Tianjin General Technology Co., Ltd.
Sony Corporation
Yuhuan Shuanglin Machinery Co., Ltd.
Daicel Co., Ltd.
Shaanxi University of Science and Technology
Potian Information Technology Co., Ltd.
Changzhou University
Shanghai Huichang Intelligent Transportation System Co., Ltd.
Shanghai Jiaotong University
Nanjing Institute of Technology
Zhejiang University of Technology
Wuhan Shangsai Optoelectronics Technology Co., Ltd.
Jinan University
GAC Honda Automobile Co., Ltd.
Beijing Shangtang Technology Development Co., Ltd.
China United Network Communications Group Co., Ltd.
Xiao Zhengxuan
Qujing Miaohua Technology Co., Ltd.
Qingdao Hengtai Radiator Co., Ltd.
Anhui Normal University
Baowu Group Echeng Iron and Steel Co., Ltd.
Wuxi Little Swan Electric Co., Ltd.
China Salt Jintan Salt Chemical Co., Ltd.
Tongji University
Bauhinia Slurry Pipeline Engineering Co., Ltd.
Suzhou Inspur Intelligent Technology Co., Ltd.
CRSC Urban Rail Transit Technology Co., Ltd.
Hebei University of Science and Technology
Foshan Yudi Technology Co., Ltd.
The Fifth Ninth Research Institute of China Ordnance Industry
Beijing Eisenbo Aviation Technology Co., Ltd.
Changzhou Tianan Lock Industry Co., Ltd.
Hangzhou Yiheng Technology Co., Ltd.
Ruimai Machinery Technology (Wujiang) Co., Ltd.
Imsey IP Holdings LLC
Jiangsu Sanlujiu Intelligent Technology Co., Ltd.
Huawei Technologies Co., Ltd
Vivo Mobile Communication Co., Ltd.
Beijing Saioran Flame Retardant Fiber Co., Ltd.
Suzhou Jinxin Thermal Insulation Material Technology Co., Ltd.
Changhong Meiling Co., Ltd.
Haining Zhongyuan Plastic Co., Ltd.
Changzhou Ruihong Roll Co., Ltd.
ZTE Corporation
Hunan Bangpu Circulation Technology Co., Ltd.
Datang Semiconductor Design Co., Ltd.
marvel international ltd.
National Research Center
Zhongshan Ophthalmology Center of Sun Yat-Sen University
Potian Information Technology Co., Ltd.
Apple
Chuhai letter
Swatch Group Research and Development Ltd.
Cao Di
The 54th Research Institute of China Electronics Technology Group Corporation
Zhejiang Shijin Basalt Fiber Co., Ltd.
Meng Xiao
The Fifth Ninth Research Institute of China Ordnance Industry
Bright Sharp Holdings Limited
Huaian Dan Culture Technology Co., Ltd.
Xiaomi Technology Co., Ltd.
Fangcheng Hong Kong, Macau and Oil Industry Co., Ltd.
China University of Petroleum (East China)
Xi'an Jiaotong University
Beijing Institute of Technology
Xiamen Tianma Microelectronics Co., Ltd.
Sino-Singapore Technology Group Co., Ltd.
Yiwu Qianfei Technology Co., Ltd.
Harbin Institute of Technology (Shenzhen)
Foshan Shunde Yikar Medical Equipment Co., Ltd.
CRRC Zhuzhou Electric Locomotive Co., Ltd.
Dunyi Nanotechnology (Suzhou) Co., Ltd.
Jiaxing Fangmu Energy Technology Co., Ltd.
Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences
China United Network Communications Group Co., Ltd.
Anshan Tianhua Wood Industry Co., Ltd.
Jiaxing Fangmu Energy Technology Co., Ltd.
Chongqing BOE Optoelectronics Technology Co., Ltd.
China Railway Fourth Survey and Design Institute Group Co., Ltd.
Zhejiang Yunda Wind Power Co., Ltd.
Beijing Bikes Technology Co., Ltd.
Ocean University of China
Shanghai Shiya Technology Co., Ltd.
Nanjing Ruiyi Intelligent Technology Co., Ltd.
Anhui Meijia New Materials Co., Ltd.
Chengdu Anheng Information Technology Co., Ltd.
Jiujiang University
Nanjing University of Science and Technology
Zou Yihua
Foshan Shunde Kolia Hardware Electric Co., Ltd.
KONE AG
Zhengzhou University of Light Industry
Nanjing Shuangyu Engineering Technology Co., Ltd.
Institute of Biotechnology, Chinese Academy of Agricultural Sciences
Huawei Technologies Co., Ltd
Nanjing University Shenzhen Research Institute
Kunming University of Science and Technology
Fanuc Co., Ltd.
Mingyang Smart Energy Group Co., Ltd.
Jiangmen City Jianghai District Kaihui Photoelectric Equipment Factory Co., Ltd.
Yantai Ruichuang Micro-nano Technology Co., Ltd.
Nippon Seiko Co., Ltd.
Qualcomm Incorporated
three-dimensional communication co., ltd.
Beijing University of Chinese Medicine
Nanjing University of Chinese Medicine
Qingdao Agricultural University
Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences
Zhejiang Geely Holding Group Co., Ltd.
Jiangxi Hengyi Technology Co., Ltd.
Creative Information Technology Co., Ltd.
Mitsubishi Engineering Plastics Co., Ltd.
Corning Incorporated
Siemens Factory Automation Engineering Co., Ltd.
Fushun Petrochemical Research Institute, China Petroleum & Chemical Corporation
Jiangsu University of Science and Technology
Xi'an Institute of Space Radio Technology
Huazhong University of Science and Technology
Ruishi Chuangxin (Shenzhen) Technology Co., Ltd.
Zhejiang Weixing Industrial Development Co., Ltd.
Tongji University
Nanning Vocational and Technical College
Zhejiang Geely Holding Group Co., Ltd.
Guangzhou Jiesai Communication Planning and Design Institute Co., Ltd.
Aisika Hynix Co., Ltd.
China General Nuclear Power Co., Ltd.
Zhengzhou Qingyan Alloy Technology Co., Ltd.
Dongguan Jiasheng Daily Plastic Products Co., Ltd.
Jiangsu Fenghe Medical Equipment Co., Ltd.
Institute of Microelectronics, Chinese Academy of Sciences
Hubei Zhuoan Plastic Industry Co., Ltd.
Xi'an University of Technology
Shan Dong University
Ronghua Construction Group Co., Ltd.
Infineon Technologies AG
Li Ling
Hunan University
Hyundai Motor Co., Ltd.
Southeast University
Shanghai Ciyu Information Technology Co., Ltd.
Zhejiang Normal University
Baoshan Iron and Steel Co., Ltd.
Neusoft Medical Systems Co., Ltd.
Anhui Geruixin Intelligent Equipment Co., Ltd.
Huaneng Qinbei Power Generation Co., Ltd.
Shanghai Hehui Optoelectronics Co., Ltd.
Changzhou Bodi Auto Parts Co., Ltd.
Shanghai University
Wang Ying
Wuhan Iron and Steel Co., Ltd.
Yangzhou Tourist Commodity Manufacturing Factory
Jiangsu Hengli Chemical Fiber Co., Ltd.
kurapipe systems ltd.
Hui'an Zhongzheng Network Technology Co., Ltd.
Wang Shuhua
Wenzhou Tianyi Shoes Co., Ltd.
Tianjin Zhongtian Plastic Products Co., Ltd.
fiskars finland gmbh
Jiangsu University
Xuzhou Kehengao Refrigeration Equipment Co., Ltd.
Huawei Terminal Co., Ltd.
Guangdong Fu'an Technology Development Co., Ltd.
Hunan Lingxiang Maglev Technology Co., Ltd.
Nantong First People's Hospital
Nanjing Institute of Soil Sciences, Chinese Academy of Sciences
State Grid Economic and Technology Research Institute Co., Ltd.
University of Electronic Science and Technology of China
Anhui Huifeng New Synthetic Materials Co., Ltd.
Rockchip Microelectronics Co., Ltd.
Northwest Nonferrous Metals Research Institute
Zhuhai Gree Electric Appliances Co., Ltd.
Beijing Research Institute of Chemical Industry, China Petroleum & Chemical Corporation
Zhijiang (Sichuan) High-tech Materials Applied Technology Research Institute Co., Ltd.
Hebei Minghua Jinying Glass Technology Co., Ltd.
Qingdao Chengyang District People's Hospital
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Jeffrey Steel Co., Ltd.
SABIC Universal Technologies LLC
Anqing Jinhuihuang Electronic Technology Co., Ltd.
Tianjin Kerida Coating Chemical Co., Ltd.
Jiangnan University
Jiangsu Ouke Animal Pharmaceutical Co., Ltd.
Zhejiang University
Chongqing Jiangzeng Shipbuilding Industry Co., Ltd.
Maanshan Green Dalong Agricultural Technology Co., Ltd.
Jiangsu Institute of Botany, Chinese Academy of Sciences
Central South University of Forestry and Technology
taiwan integrated circuit manufacturing co., ltd.
Telecommunications Science and Technology Research Institute Co., Ltd.
Wuxi Kaidi Environmental Protection Technology Co., Ltd.
Qingdao Traditional Chinese Medicine Hospital (Qingdao Haici Hospital, Qingdao Institute of Rehabilitation Medicine)
Jiangxi Jinjin Environmental Protection Technology Co., Ltd.
Kangjie Technology Group Co., Ltd.
Zhejiang University
Shanxi Bethune Hospital (Shanxi Academy of Medical Sciences)
Suzhou Youdian IOT Technology Service Co., Ltd.
Huawei Technologies Co., Ltd
SK Plannet Co., Ltd.
The 32nd Research Institute of China Electronics Technology Group Corporation
Beijing University of Posts and Telecommunications
University of Electronic Science and Technology of China
Hunan Institute of Plant Protection
Hangzhou Yaohan Photovoltaic Technology Co., Ltd.
Aspire Digital Technology (Shenzhen) Co., Ltd.
North China University of Technology
Taikang Insurance Group Co., Ltd.
New H3C Technology Co., Ltd.
Huawei Technologies Co., Ltd
Zhejiang Henglan Technology Co., Ltd.
Wuhan University
Tianjin Longzhi Valve Co., Ltd.
Huazhong University of Science and Technology
Wang Gan
Angry (Shanghai) Information Technology Co., Ltd.
China General Nuclear Power Co., Ltd.
Shandong Normal University
Qingdao Agricultural University
Zhejiang China Tobacco Industry Co., Ltd.
Xu Yichen
China Railway Eleventh Bureau Group Co., Ltd.
Yancheng Sudong Fire Engineering Co., Ltd.
Nanjing University
Jiangxi Institute of Fashion Technology
Shishi Yongfeng Trademark Development Co., Ltd.
State Grid Information and Communication Industry Group Co., Ltd.
Suzhou Institute of Nanotechnology and Nanobionics, Chinese Academy of Sciences
Mitsui Chemicals Co., Ltd.
Shenzhen TCL Digital Technology Co., Ltd.
Foshan Huibaisheng Laser Technology Co., Ltd.
North China University of Technology
Fushun Petrochemical Research Institute, China Petroleum & Chemical Corporation
Kano Cooling (Guangzhou) Technology Co., Ltd.
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Chinese People's Liberation Army General Hospital
Quanzhou Ruwan Electronic Commerce Co., Ltd.
Nanjing University of Technology
Henan Zhongduo Aluminum Magnesium New Material Co., Ltd.
Inner Mongolia Electric Power (Group) Co., Ltd. Branch of Inner Mongolia Electric Power Economics and Technology Research Institute
Nankai University
Beijing Moqiu Technology Co., Ltd.
ZKW Group LLC
Shenzhen Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Lin Yuxian
omega co., ltd.
Zhuhai Gree Electric Appliances Co., Ltd.
MediaTek Corporation
Shandong Guosheng Environmental Technology Co., Ltd.
Beijing Forestry University
Toyota Boshoku Co., Ltd.
Haier Smart Home Co., Ltd.
China United Network Communications Group Co., Ltd.
Shandong Shengquan Biomass Graphene Research Institute
Quanzhou Swimsuit Library Network Technology Co., Ltd.
Beijing University of Posts and Telecommunications
Changxing Zheng Heating Electric Refractories Co., Ltd.
Shaanxi Weifeng Nuclear Electronics Co., Ltd.
Hangzhou U.S.-China Disease Genetics Research Institute Co., Ltd.
Bian Yongping
Ma Jin
North Central University
Alipay (Hangzhou) Information Technology Co., Ltd.
Hefei Weimin Power Co., Ltd.
Wenzhou Lujia Industrial Product Design Co., Ltd.
Institute of Horticulture, Academy of Agricultural Sciences, Guangxi Zhuang Autonomous Region
Henan University
Jilin Huawei Electronics Co., Ltd.
Wuhan Tianma Microelectronics Co., Ltd.
Shenzhen Jieruilian Technology Co., Ltd.
An-Hui Engineering University
Jiangsu Xinhongda Group Co., Ltd.
Anhui Anxin Fork Co., Ltd.
Institute of Modern Physics, Chinese Academy of Sciences
Hubei University
He Hai University
Jingde County Andeli Abrasives Co., Ltd.
Zhuhai Gree Electric Appliances Co., Ltd.
Central South University
Ningde Times New Energy Technology Co., Ltd.
Beijing Shougang Automation Information Technology Co., Ltd.
China Petroleum & Chemical Corporation Petrochemical Research Institute
Mianyang BOE Optoelectronics Technology Co., Ltd.
Innovation Qizhi (Chongqing) Technology Co., Ltd.
Huazhong University of Science and Technology
East China Normal University
Howard Machinery (Shanghai) Co., Ltd.
Huazhong University of Science and Technology
Jiangsu Southeast Nanomaterials Co., Ltd.
Xi'an Fast Auto Transmission Co., Ltd.
Weihai Xinte Heavy Industry Co., Ltd.
Hangzhou Complex Beauty Technology Co., Ltd.
Zhanjiang Qianzhou Fishery Aquatic Products Co., Ltd.
Zibo Vocational College
Spreadtrum Communications (Shanghai) Co., Ltd.
Hangzhou Normal University
CNOOC Changzhou Environmental Coatings Co., Ltd.
Yokohama Rubber Co., Ltd.
Zhejiang University
Shanxi University
Hytera Communications Co., Ltd.
Shijiazhuang Jinyu Xucheng Concrete Co., Ltd.
Zhejiang University of Technology
Tencent Technology (Shenzhen) Co., Ltd.
Zhejiang Zhongkong Solar Technology Co., Ltd.
Jiangsu Baisaifei Biotechnology Co., Ltd.
Wang Si
Fiberhome Communication Technology Co., Ltd.
Shenzhen Chuangshi Yiming Technology Co., Ltd.
University of Electronic Science and Technology of China
Fujian Good Day Food Co., Ltd.
Jilin Design Institute of CNPC Northeast Refining and Chemical Engineering Co., Ltd.
Chongqing University
Huawei Technologies Co., Ltd
Dalian University of Technology
Longyan Lirong Electronic Technology Co., Ltd.
Intel Corporation
Jiangsu Agriculture and Animal Husbandry Science and Technology Vocational College
State Grid Corporation of China
Shanghai Qihuang Energy Saving and Environmental Protection Equipment Co., Ltd.
Foshan Shunde Midea Washing Appliance Manufacturing Co., Ltd.
China Water Resources and Hydropower Third Engineering Bureau Co., Ltd.
Wen's Food Group Co., Ltd.
Microsoft Technology Licensing LLC
Agricultural Bank of China Limited
Wu Lihua
China Nuclear Power Engineering Co., Ltd.
Zhongyuan Hongyu Construction Group Co., Ltd.
Wuhan Marine Machinery Co., Ltd.
Xinyang Agriculture and Forestry College
Jiaxing Xili Industrial Technology Co., Ltd.
Jiangsu Shengsi Electronic Technology Co., Ltd.
Sichuan Jiayi Co., Ltd.
Li Chengling
Huawei Technologies Co., Ltd
Cisco Technologies
Tsinghua University
Huazhong University of Science and Technology
Huoshan Zhixing Information Technology Co., Ltd.
Luoyang Advanced Equipment Technology Co., Ltd.
Zhejiang University
Hebei Hengshui Kairui Communication Equipment Co., Ltd.
Zhejiang Jilixi Automobile Air Conditioning Co., Ltd.
Beijing Nokangda Pharmaceutical Technology Co., Ltd.
Inno Technology Co., Ltd.
Changde Yandi Biotechnology Co., Ltd.
Allego Microsystems LLC
Guangzhou Quest Technology Co., Ltd.
Shanghai Huawei Technologies Co., Ltd.
Yiwu Niuer Technology Co., Ltd.
Xu Yali
Chongqing Normal University Foreign Business School
POSCO Corporation
Zhao Feng
China Academy of Water Resources and Hydropower Sciences
Wuhan Shengzhiyuan Biotechnology Co., Ltd.
Southwest Petroleum University
Bandai Co., Ltd.
Shan Dong University
Hunan Huanuo Technology Co., Ltd.
Zhejiang Tsinghua Institute of Flexible Electronics Technology
Han Shuai
Beijing Wangsu Technology Co., Ltd.
Zhanjiang Yuantong High-tech Co., Ltd.
Zhejiang Zhongbang Electromechanical Technology Co., Ltd.
Southwest Jiaotong University
Zhou Huahai
Zhongshan Juli Silicone Technology Co., Ltd.
China Petroleum & Chemical Corporation
Shandong Zhongrui New Energy Technology Co., Ltd.
AVIC Beijing Institute of Aeronautical Materials
Huating (Hefei) Power Technology Co., Ltd.
Anhui Jujiang Furniture Manufacturing Co., Ltd.
Chongyi Baisheng Hardware Products Co., Ltd.
Zhejiang Bangbang Industrial Co., Ltd.
Hunan Soling Automotive Electronic Technology Co., Ltd.
Ito Future Energy Equipment (Shanghai) Co., Ltd.
Huazhong University of Science and Technology
Gaokan (Guangzhou) Technology Co., Ltd.
Taizhou Jiji Intellectual Property Operation Co., Ltd.
Shanghai Eagle Eye Medical Technology Co., Ltd.
Henan Weihua Heavy Machinery Co., Ltd.
Heinrich Eagle Seidl
Xijing College
Xi'an Jiaotong University
Jiashan Meiyuan Garment Washing Co., Ltd.
Shenzhen Advanced Technology Research Institute
JD Digital Technology Holdings Co., Ltd.
China ENFI Engineering Technology Co., Ltd.
Zhengzhou University
Fujian University of Traditional Chinese Medicine
Huawei Technologies Co., Ltd
Quanliantong Co., Ltd.
Rupan Quantum Technology Co., Ltd.
Sichuan Yuao Biotechnology Co., Ltd.
Taiyuan University of Science and Technology
Kunshan Longteng Optoelectronics Co., Ltd.
Shenzhen Zhenyou Technology Co., Ltd.
Shandong Chenyu Rare Material Technology Co., Ltd.
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Kunshan Katie Children's Products Co., Ltd.
Changchun Haipu Runsi Technology Co., Ltd.
Huawei Technologies Co., Ltd
Dongguan Wenyu Industrial Co., Ltd.
Huazhong University of Science and Technology
Wuhan Iron and Steel Co., Ltd.
National Nanoscience Center
Qinshan Third Nuclear Power Co., Ltd.
Xiamen Anlongda Fire Protection Material Co., Ltd.
Wuhan Kalmar Automotive Electronics Co., Ltd.
Bestune Paint (Shanghai) Co., Ltd.
Wenzhou University
Xiangyu Pharmaceutical Co., Ltd.
Zhejiang Gieli Industry and Trade Co., Ltd.
Li Yixuan
Micron Environmental Biotechnology (Beijing) Co., Ltd.
Guangdong Saier Biotechnology Co., Ltd.
Shengzhou Wufeiwu Machinery Equipment Firm
Ping An International Smart City Technology Co., Ltd.
Shan Dong University
Foshan Meilide Electronics Co., Ltd.
Taiyuan University of Science and Technology
Jinhua Celebrity Art Packaging Co., Ltd.
Guangzhou Chengge Information Technology Co., Ltd.
Sichuan Changhong Electric Co., Ltd.
The Fifth Ninth Research Institute of China Ordnance Industry
Jiangsu Hongxun Construction Co., Ltd.
Song Haojie
Guangdong Hengdian Information Technology Co., Ltd.
Samsung Electronics Co., Ltd.
Institute of Process Engineering, Chinese Academy of Sciences
Anhui Pujin Rail Equipment Co., Ltd.
Zhuhai Gree Electric Appliances Co., Ltd.
Novi Technology (Beijing) Co., Ltd.
Jilin University
Zhang Yong
Institute of Semiconductors, Chinese Academy of Sciences
Guangzhou Hengyue Human Resources Service Co., Ltd.
Beijing Tianlian Measurement and Control Technology Co., Ltd.
Huawei Technologies Co., Ltd
Guangdong Wupu Sala Environmental Protection Technology Co., Ltd.
Mitsubishi Electric Corporation
Suzhou Fujie Chain Co., Ltd.
Shanghai Institute of Aerospace Precision Machinery
Chengdu Know Chuangyu Information Technology Co., Ltd.
Baidu Online Network Technology (Beijing) Co., Ltd.
Nissan Chemical Industry Co., Ltd.
Qualcomm Incorporated
Huangshan College
Xi'an Jiaotong University
Wanning Gangbei Fuyu Aquatic Products Co., Ltd.
Hunan Meida Biological Resources Co., Ltd.
Institute of Modern Industrial Technology, South China University of Technology, Zhongshan City
BOE Technology Group Co., Ltd.
Shanghai Bluestone Chemical Co., Ltd.
Institute of Genetics and Physiology, Hebei Academy of Agriculture and Forestry (Hebei Academy of Agriculture and Forestry Academy of Agricultural Products Quality and Safety Research Center)
Sichuan University
LG Electronics Co., Ltd.
Xinhai Chuangjiamei (Beijing) Engineering Technology Co., Ltd.
Jiaxing Huifeng Landscaping Engineering Co., Ltd.
Shantou Power Supply Bureau of Guangdong Power Grid Co., Ltd.
Hefei Jiaan Building Materials Co., Ltd.
Chongqing BOE Optoelectronics Technology Co., Ltd.
Huawei Technologies Co., Ltd
Guilin University of Electronic Technology
BYD Co., Ltd.
Fujian Yuneng Electric Power Complete Equipment Co., Ltd.
Longpai Automobile Co., Ltd.
South China University of Technology
Henan Power Diamond Co., Ltd.
Anhui Medical University
Shenzhen Huagong Energy Technology Co., Ltd.
Mingguang Wanxiang Plastic Products Co., Ltd.
Hangzhou University of Electronic Science and Technology
Anhui Juke Graphene Technology Co., Ltd.
Swell system
Dalian University for Nationalities
Quanzhou Dongai Machinery Manufacturing Co., Ltd.
Shenzhen Changliang Technology Co., Ltd.
Fuzhou University
Dalian Petrochemical Research Institute, China Petroleum & Chemical Corporation
Jiaxing Echu Construction Engineering Co., Ltd.
Huazhong University of Science and Technology
Qualcomm Incorporated
Yiwu Quanxi New Material Co., Ltd.
South China Sea Institute of Oceanography, Chinese Academy of Sciences
Qualcomm Incorporated
MediaTek (Singapore) Pte Ltd
Zhejiang University
Shanghai Peilin Biotechnology Co., Ltd.
Guangzhou Greening Company
kehui limited partnership
Jinan Metallurgical Chemical Equipment Co., Ltd.
Dalian University of Technology
Anhui Tanyuan High-tech Group Co., Ltd.
Xuji Electric Co., Ltd.
Beijing Ruixinfeng Technology Co., Ltd.
Shaoxing Fengdeng Environmental Protection Co., Ltd.
Taizhou Rongxing Medical Products Co., Ltd.
Geergu (Qingdao) Vibration Control Co., Ltd.
Hexinxingtong (Shanghai) Technology Co., Ltd.
China United Network Communications Group Co., Ltd.
Guangzhou Light Industry Vocational School
Zhejiang Geely Automobile Research Institute Co., Ltd.
Aerospace Times Electronic Technology Co., Ltd.
East China Institute of Computing Technology (The 32nd Research Institute of China Electronics Technology Group Corporation)
Lishui Zhengdao Automation Technology Co., Ltd.
Beijing Jinhuili Applied Chemical Products Co., Ltd.
Hefei University of Technology Hi-Tech Information Technology Co., Ltd.
Beijing University of Chemical Technology
Nanjing University of Information Technology
Guangzhou Automobile Group Co., Ltd.
Qingdao Dayang Tiande Food Co., Ltd.
Zhao Xiaoling
Vestas Wind Systems Ltd.
Beijing Dahua Brocade Intelligent Technology Co., Ltd.
Wuhan Shangsai Optoelectronics Technology Co., Ltd.
Nan'an Keti Machinery Technology Co., Ltd.
Zeng Longping
Harbin Aircraft Industry Group Co., Ltd.
Sun Yao
Fujian Chengyi Power Equipment Co., Ltd.
Beijing Research Institute of Chemical Industry, China Petroleum & Chemical Corporation
Affiliated Hospital of Zunyi Medical University
beijing university of architecture
Dongyou Fine Chemical Co., Ltd.
Baoding Technology Co., Ltd.
Quanzhou Quduoduo Sanitary Products Co., Ltd.
China Jiliang University
Jiangsu Chihua Bearing Co., Ltd.
Wei Jinzhan
Evergrande Smart Charging Technology Co., Ltd.
Zhejiang Sanhua Refrigeration Group Co., Ltd.
Zhejiang University
Nanjing Drum Tower Hospital
Nankai University
Linquan Hengda Food Co., Ltd.
